Name,Attributes,Builder Weight,Content Weight,Deadline (Local Time),Deadline [block],Deadline timestamp,Distributor Weight,Effective Deadline,Forum Link,Forum Post Required?,Forum Report Source,Forum Weight,Grade Name,Group,HR Weight,Handbook Link,Handover Weight,Lead Opportunities Weight,Marketer Weight,Marketing Weight,Notion Link,Notion Source Link,Opportunity Target,Parent Score,Plan Weight,Property,Property 1,Property 2,Proposal Link,Proposal Required?,Reports Gathered,Score,Score Notes,Score Status,Score Type,Scoring Weights,Spot Check Completed,Storage Weight,Submitted [Block],Submitted [Timestamp],Submitted [date/time],Subscores,Summary Weight,Summary Weight link
Council Period Plan,"Document, Forum Post, Grade, Proposal, Subscore",4,2,,,,3,,,Yes,https://dao.joystream.org/#/forum/category/4,1,PLAN_SCORE,Council,4,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-period-plan,1,1,0,0,"Untitled (https://www.notion.so/72e1349245b74e7dbce727356e2283c0?pvs=21) ",,,Network Performance Score (Council%207/Council%20Period%207/Network%20Performance%20Score%20a1bd8a1f2a1d47608d8fe7b2fda9a696.md),1,,2,4,,Yes,No,0,No Forum Post found,Data input - grading req,Main Score,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,"May 13, 2022 1:53 PM (GMT+1)",,,1
Featured Content Unplayable,"Catastrophic Errors, Grade, Spot Check",4,2,,,,3,,,,,1,,Content,4,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#featured-content-unplayable,1,1,0,0,,,,Content Score (Council%207/Council%20Period%207/Content%20Score%20509cf368d57b4c37aaad9e7f377ee1c3.md),1,,2,4,,,No,,,Not Completed,,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,,,1
Content Score,Composite Grade,4,2,,,,3,,,,,1,CONTENT_SCORE,Content,4,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#score,1,1,0,0,,,,Network Performance Score (Council%207/Council%20Period%207/Network%20Performance%20Score%20a1bd8a1f2a1d47608d8fe7b2fda9a696.md),1,,2,4,,,No,0.452,,Calculation,,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,"General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%20d822d7ac5c04432686f5870800f8f116.md), Content Report (Council%207/Council%20Period%207/Content%20Report%2043826a3f84eb4f41b51f4f60f5822be9.md), Featuring Score (Council%207/Council%20Period%207/Featuring%20Score%20e4d7bba642a840cda15d21c3b9624108.md), Moderation Score (Council%207/Council%20Period%207/Moderation%20Score%20d55db66c8293410ba0c831d487794e93.md), Logging does not occur (Council%207/Council%20Period%207/Logging%20does%20not%20occur%2023d21a9a85ca4de782e4616dadf73d7c.md), Featured Content Unplayable (Council%207/Council%20Period%207/Featured%20Content%20Unplayable%203fef43d260a7442ebb950623e175faf8.md), Failure to apply moderation rules (Council%207/Council%20Period%207/Failure%20to%20apply%20moderation%20rules%20a92dca699e624b68a417be406aa07861.md)",,1
Missing Judgement,"Catastrophic Errors, Grade, Spot Check",4,2,,,,3,,,,,1,,HR,4,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#catastrophic-errors,1,1,0,0,,,,,1,,2,4,,,No,,,Not Completed,,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,,,1
Builder Score,"Composite Grade, Master Group Score",4,2,"January 20, 1970 4:03 AM",752400,1652608800,3,,,,,1,BUILDER_SCORE,Builders,4,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#score,1,1,0,0,,,,Network Performance Score (Council%207/Council%20Period%207/Network%20Performance%20Score%20a1bd8a1f2a1d47608d8fe7b2fda9a696.md),1,,2,4,,,No,0.533,,Calculation,Main Score,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,"May 15, 2022 11:00 PM (GMT+1)","General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%20a0b5b885479b42d6aff4584a8d840789.md), Builders Report (Council%207/Council%20Period%207/Builders%20Report%20012807751b93492ea076d87caa78b624.md), Testing (Council%207/Council%20Period%207/Testing%2048fe09f70fae4da1a8f8196649a2fe68.md), Pioneer Development (Council%207/Council%20Period%207/Pioneer%20Development%205939ed92680d42f6a6a6848a5b6a4eac.md), General Development (Council%207/Council%20Period%207/General%20Development%20060b1035137c463e9fcbb7b1cf6a714d.md)",,1
Person Logging Score,,4,2,,,,3,,,,,1,PERSON_LOGGING_SCORE,HR,4,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#person_logging_score,1,1,0,0,,,,HR Score (Council%207/Council%20Period%207/HR%20Score%20d203f1ecbf2549489aac1d675ced3ea2.md),1,,2,4,,,No,0.5,,Not Completed,Subscore,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,,,1
Upgrade Score,,4,2,,,,3,,,,,1,UPGRADE_SCORE,Storage,4,,1,1,0,0,,,,,1,,2,4,,,No,0,,Not Completed,Subscore,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,,,1
Upgrade Score,,4,2,,,,3,,,,,1,UPGRADE_SCORE,Distributors,4,,1,1,0,0,,,,Distributor Score (Council%207/Council%20Period%207/Distributor%20Score%2076c92f0fbe3e4590bd3e26d8c30de8bd.md),1,,2,4,,,No,0,,Not Completed,Subscore,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,,,1
Category Score,,4,2,,,,3,,,,,1,CATEGORY_SCORE,Forum,4,,1,1,0,0,,,,,1,,2,4,,,No,0,,Not Completed,,Council 7 (Council%207%207f116be5a8f54180abd97510bc5cfbc7.md),No,3,,,,,,1
Council Parameters,,,,"May 9, 2022 3:33 PM",672000,1652106798000,,"May 9, 2022 5:00 PM (GMT+1)",,,,,,JSG,,,,,,,,,,,,,,,,,No,,,Ready for review,,,No,,,,,,,
