Name,Group,Grade Name,Score,Handbook Link,Subscores,Parent Score,Attributes,Score Type,Deadline [block],Proposal Required?,Score Status
Thumbnails,Distributors,THUMBNAIL_SCORE,0.518,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#thumbnail_score,,Distributor Score (Council%207/Council%20Period%207/Distributor%20Score%2076c92f0fbe3e4590bd3e26d8c30de8bd.md),"Grade, Spot Check, Subscore",Subscore,,,Calculation
WG Opportunities,Builders,WORKER_OPPORTUNITIES_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,,"Grade, Spot Check, Subscore",Subscore,,,Calculation
Council Period Plan,Council,PLAN_SCORE,0,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-period-plan,,Network Performance Score (Council%207/Council%20Period%207/Network%20Performance%20Score%20a1bd8a1f2a1d47608d8fe7b2fda9a696.md),"Document, Forum Post, Grade, Proposal, Subscore",Main Score,,Yes,Data input - grading req
WG Period Plan,HR,PLAN_SCORE,0.5,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%204cc96e8d350741f3ba90d47b7fe40188.md),Forum Post,,675000,,Ready for review
WG Summary,Distributors,SUMMARY_SCORE,0,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%203a5e8ade60d846f48c9f99feaed17f56.md),"Document, Forum Post, Grade, Subscore",Subscore,752400,,Ready for review
Council Handover/Minutes,Council,HANDOVER_SCORE,0.9,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-handover-meeting,,,"Forum Post, Subscore",Main Score,,,Data input - grading req
WG Opportunities,Forum,WORKER_OPPORTUNITIES_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%209110e709cb3e4e2893cb4704c40481f6.md),"Document, Forum Post, Grade",,,,Calculation
WG Period Plan,Content,PLAN_SCORE,0.5,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%20d822d7ac5c04432686f5870800f8f116.md),Forum Post,,675000,,Ready for review
Storage Report,Storage,REPORT_SCORE,0.9,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#report_score,,Storage Score (Council%207/Council%20Period%207/Storage%20Score%20bdef29f3ae2143378688c425c8a12f94.md),"Document, Forum Post, Grade",Subscore,,,Data input - grading req
Forum Report,Forum,REPORT_SCORE,0.8,,,Forum Score (Council%207/Council%20Period%207/Forum%20Score%2078bf7c7d83c745689ed17c18cbd1df3d.md),"Document, Forum Post, Grade, Subscore",,752400,,Ready for review
Content Report,Content,REPORT_SCORE,0.35,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#report_score,,Content Score (Council%207/Council%20Period%207/Content%20Score%20509cf368d57b4c37aaad9e7f377ee1c3.md),Forum Post,Subscore,752400,,Ready for review
Council Daily Sync,Council,,,,,,"Forum Post, Subscore",Subscore,,,Not Completed
Builders Report,Builders,REPORT_SCORE,0.9,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score,,Builder Score (Council%207/Council%20Period%207/Builder%20Score%207f23de81598942558b91be6c52c1f4af.md),"Document, Forum Post, Grade, Subscore",Subscore,,,Ready for review
WG Period Plan,Distributors,PLAN_SCORE,0,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%203a5e8ade60d846f48c9f99feaed17f56.md),"Document, Forum Post, Grade",Subscore,675000,,Ready for review
WG Summary,Builders,SUMMARY_SCORE,1,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%20a0b5b885479b42d6aff4584a8d840789.md),"Document, Forum Post, Grade, Subscore",Subscore,752400,,Ready for review
WG Period Plan,Builders,PLAN_SCORE,0,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%20a0b5b885479b42d6aff4584a8d840789.md),"Document, Forum Post, Grade, Subscore",Subscore,675000,,
WG Summary,Forum,SUMMARY_SCORE,0.4,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%209110e709cb3e4e2893cb4704c40481f6.md),"Document, Forum Post, Grade, Subscore",,752400,,Ready for review
Council Period Summary,Council,SUMMARY_SCORE,0,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#council-period-summary,,Network Performance Score (Council%207/Council%20Period%207/Network%20Performance%20Score%20a1bd8a1f2a1d47608d8fe7b2fda9a696.md),"Document, Forum Post, Grade, Proposal, Subscore",Main Score,,,Data input - grading req
WG Period Plan,Storage,PLAN_SCORE,0,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%201f4037cc3e69488cb9663a1e0036dcda.md),"Document, Forum Post, Grade, Subscore",Subscore,675000,No,Ready for review
WG Summary,HR,SUMMARY_SCORE,0.9,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%204cc96e8d350741f3ba90d47b7fe40188.md),"Document, Forum Post, Grade",Subscore,752400,No,Ready for review
WG Summary,Storage,SUMMARY_SCORE,0.4,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%201f4037cc3e69488cb9663a1e0036dcda.md),"Document, Forum Post, Grade, Subscore",Subscore,752400,,Ready for review
Distributors Report,Distributors,REPORT_SCORE,0.8,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#report_score,,Distributor Score (Council%207/Council%20Period%207/Distributor%20Score%2076c92f0fbe3e4590bd3e26d8c30de8bd.md),"Document, Forum Post, Grade, Subscore",Subscore,,,Data input - grading req
Uploads,Storage,UPLOAD_SCORE,0.912,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#upload_score,,Storage Score (Council%207/Council%20Period%207/Storage%20Score%20bdef29f3ae2143378688c425c8a12f94.md),Grade,Subscore,,,Calculation
WG Opportunities,Content,WORKER_OPPORTUNITIES_SCORE,0.167,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%20d822d7ac5c04432686f5870800f8f116.md),"Grade, Spot Check, Subscore",,,,Calculation
WG Opportunities,Distributors,WORKER_OPPORTUNITIES_SCORE,0.25,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,General WG Score (Council%207/Council%20Period%207/General%20WG%20Score%203a5e8ade60d846f48c9f99feaed17f56.md),"Grade, Spot Check, Subscore",Subscore,,,Calculation
