Name,Member ID,Reward,Worker ID
yyagi,3098,8.0000 JOY,7
godshunter,1541,4.0000 JOY,5
alexznet,2574,8.0000 JOY,2
Craci_BwareLabs,3886,4.0000 JOY,9
0x2bc,2098,15.0000 JOY,0
mmx1916,3085,8.0000 JOY,8
maxlevush,2130,8.0000 JOY,3
l1dev,515,12.0000 JOY,4
joystreamstats,1305,8.0000 JOY,1
