Worker ID,Member ID,Name,Reward
9,3886,Craci_BwareLabs,4.0000 JOY
8,3085,mmx1916,8.0000 JOY
7,3098,yyagi,8.0000 JOY
5,1541,godshunter,4.0000 JOY
4,515,l1dev,12.0000 JOY
3,2130,maxlevush,8.0000 JOY
2,2574,alexznet,8.0000 JOY
1,1305,joystreamstats,8.0000 JOY
0,2098,0x2bc,15.0000 JOY
