id,createdAt,size,storageBagId,Property
14980,"July 13, 2022 10:06 AM (GMT+1)",26688,2604,
14978,"July 13, 2022 10:05 AM (GMT+1)",26684,2604,
14979,"July 13, 2022 10:06 AM (GMT+1)",58237695,2604,
14990,"July 13, 2022 9:37 PM (GMT+1)",5470,2075,
15003,"July 14, 2022 1:07 PM (GMT+1)",31587353,2075,
15004,"July 14, 2022 1:07 PM (GMT+1)",31104,2075,
15017,"July 15, 2022 9:16 AM (GMT+1)",67284165,2604,
15026,"July 15, 2022 4:13 PM (GMT+1)",17780,2653,
15025,"July 15, 2022 4:13 PM (GMT+1)",4342,2653,
15037,"July 15, 2022 9:52 PM (GMT+1)",10099496,2075,
15030,"July 15, 2022 9:18 PM (GMT+1)",8890,2075,
15038,"July 15, 2022 9:52 PM (GMT+1)",5018,2075,
15049,"July 16, 2022 9:02 AM (GMT+1)",54160657,2604,
15050,"July 16, 2022 9:02 AM (GMT+1)",17674,2604,
15047,"July 16, 2022 8:55 AM (GMT+1)",17674,2604,
15051,"July 16, 2022 9:05 AM (GMT+1)",54160657,2604,
15052,"July 16, 2022 9:05 AM (GMT+1)",17674,2604,
15056,"July 16, 2022 9:11 AM (GMT+1)",13756,2604,
15062,"July 16, 2022 9:23 AM (GMT+1)",16194,2604,
15064,"July 16, 2022 9:27 AM (GMT+1)",16194,2604,
15068,"July 16, 2022 10:11 AM (GMT+1)",13834,2604,
15070,"July 16, 2022 10:14 AM (GMT+1)",13834,2604,
15074,"July 16, 2022 10:20 AM (GMT+1)",17936,2604,
15080,"July 16, 2022 10:34 AM (GMT+1)",18014377,2604,
15081,"July 16, 2022 10:34 AM (GMT+1)",11596,2604,
15083,"July 16, 2022 10:37 AM (GMT+1)",11572,2604,
15168,"July 21, 2022 11:24 AM (GMT+1)",16866,2604,
15188,"July 22, 2022 11:46 AM (GMT+1)",661387101,2659,
15189,"July 22, 2022 11:46 AM (GMT+1)",41486,2659,
15193,"July 22, 2022 12:03 PM (GMT+1)",40804,2659,
