Id,Title,Language,Chanel name,Owner,Duration,Size,Category id,Category,License code,Original License
26926,Answers and vocabulary for TALENTS | IELTS Speaking Part 1,en,Success with IELTS,vaaanish,849,1094655464,13,Education,1002,standart YouTube license
26901,Collective Poetic Expression #1,en,TheMindsUnderground,infinteimaginarium,155,33291762,10,Entertainment,1002,1002
