Title,Category,Category id,Chanel name,Duration,Id,Language,License code,Original License,Owner,Size
Answers and vocabulary for TALENTS | IELTS Speaking Part 1,Education,13,Success with IELTS,849,26926,en,1002,standart YouTube license,vaaanish,1094655464
Collective Poetic Expression #1,Entertainment,10,TheMindsUnderground,155,26901,en,1002,1002,infinteimaginarium,33291762
